material_id,formula,cif_path,atomic_numbers,electronegativity,group,period,atomic_radius,formation_energy
mp-861724,Ac2AgIr,dataset/cif_files/mp-861724.cif,"[89, 89, 47, 77]","[1.1, 1.1, 1.93, 2.2]","[3, 3, 11, 9]","[7, 7, 5, 6]","[1.95, 1.95, 1.6, 1.35]",-0.413285238
mp-1183076,Ac2AgPb,dataset/cif_files/mp-1183076.cif,"[89, 89, 47, 82]","[1.1, 1.1, 1.93, 2.33]","[3, 3, 11, 14]","[7, 7, 5, 6]","[1.95, 1.95, 1.6, 1.8]",-0.480278043
mp-1183068,Ac2CdGa,dataset/cif_files/mp-1183068.cif,"[89, 89, 48, 31]","[1.1, 1.1, 1.69, 1.81]","[3, 3, 12, 13]","[7, 7, 5, 4]","[1.95, 1.95, 1.55, 1.3]",-0.402831249
mp-1183086,Ac2CdHg,dataset/cif_files/mp-1183086.cif,"[89, 89, 48, 80]","[1.1, 1.1, 1.69, 2]","[3, 3, 12, 12]","[7, 7, 5, 6]","[1.95, 1.95, 1.55, 1.5]",-0.433682351
mp-862319,Ac2CdSn,dataset/cif_files/mp-862319.cif,"[89, 89, 48, 50]","[1.1, 1.1, 1.69, 1.96]","[3, 3, 12, 14]","[7, 7, 5, 5]","[1.95, 1.95, 1.55, 1.45]",-0.542653949
mp-861883,Ac2CuIr,dataset/cif_files/mp-861883.cif,"[89, 89, 29, 77]","[1.1, 1.1, 1.9, 2.2]","[3, 3, 11, 9]","[7, 7, 4, 6]","[1.95, 1.95, 1.35, 1.35]",-0.342298746
mp-1183120,Ac2CuRu,dataset/cif_files/mp-1183120.cif,"[89, 89, 29, 44]","[1.1, 1.1, 1.9, 2.2]","[3, 3, 11, 8]","[7, 7, 4, 5]","[1.95, 1.95, 1.35, 1.3]",-0.016838317
mp-865470,Ac2CuSn,dataset/cif_files/mp-865470.cif,"[89, 89, 29, 50]","[1.1, 1.1, 1.9, 1.96]","[3, 3, 11, 14]","[7, 7, 4, 5]","[1.95, 1.95, 1.35, 1.45]",-0.374531716
mp-862683,Ac2GaCu,dataset/cif_files/mp-862683.cif,"[89, 89, 31, 29]","[1.1, 1.1, 1.81, 1.9]","[3, 3, 13, 11]","[7, 7, 4, 4]","[1.95, 1.95, 1.3, 1.35]",-0.287378449
mp-1183377,Ac2InGa,dataset/cif_files/mp-1183377.cif,"[89, 89, 49, 31]","[1.1, 1.1, 1.78, 1.81]","[3, 3, 13, 13]","[7, 7, 5, 4]","[1.95, 1.95, 1.55, 1.3]",-0.506067486
mp-865951,Ac2IrAu,dataset/cif_files/mp-865951.cif,"[89, 89, 77, 79]","[1.1, 1.1, 2.2, 2.54]","[3, 3, 9, 11]","[7, 7, 6, 6]","[1.95, 1.95, 1.35, 1.35]",-0.695376886
mp-866107,Ac2IrPd,dataset/cif_files/mp-866107.cif,"[89, 89, 77, 46]","[1.1, 1.1, 2.2, 2.2]","[3, 3, 9, 10]","[7, 7, 6, 5]","[1.95, 1.95, 1.35, 1.4]",-0.666397431
mp-1183093,Ac2IrRh,dataset/cif_files/mp-1183093.cif,"[89, 89, 77, 45]","[1.1, 1.1, 2.2, 2.28]","[3, 3, 9, 9]","[7, 7, 6, 5]","[1.95, 1.95, 1.35, 1.35]",-0.534733514
mp-1183074,Ac2MgGa,dataset/cif_files/mp-1183074.cif,"[89, 89, 12, 31]","[1.1, 1.1, 1.31, 1.81]","[3, 3, 2, 13]","[7, 7, 3, 4]","[1.95, 1.95, 1.5, 1.3]",-0.228840257
